"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14198","QB","Christian","Ponder","6.7","2","5200","NYJ@OAK","OAK","NYJ","","","",""
"6618","WR","Roddy","White","4.5","7","5200","TB@ATL","ATL","TB","","","",""
"14320","RB","Bilal","Powell","5.9","5","5200","NYJ@OAK","NYJ","OAK","Q","Ankle","",""
"6373","QB","Derek","Anderson","8.4","6","5200","IND@CAR","CAR","IND","","","",""
"11454","RB","Dexter","McCluster","7.3","6","5200","TEN@HOU","TEN","HOU","","","",""
"47294","RB","Terrence","Franks","0","0","5200","SF@STL","STL","SF","","","",""
"25813","WR","Phillip","Dorsett","3.8","7","5200","IND@CAR","IND","CAR","O","Ankle","",""
"12550","D","Seattle","Seahawks","12","7","5200","SEA@DAL","SEA","DAL","","","",""
"29991","RB","Bishop","Sankey","6.5","6","5200","TEN@HOU","TEN","HOU","","","",""
"16923","TE","Austin","Seferian-Jenkins","14.7","2","5200","TB@ATL","TB","ATL","Q","Shoulder","",""
"22288","WR","Cole","Beasley","4.7","6","5200","SEA@DAL","DAL","SEA","","","",""
"7952","WR","Malcom","Floyd","6.6","7","5200","SD@BAL","SD","BAL","","","",""
"7975","RB","Mike","Tolbert","4.8","6","5200","IND@CAR","CAR","IND","","","",""
"6814","QB","Tarvaris","Jackson","6.1","1","5200","SEA@DAL","SEA","DAL","","","",""
"7919","QB","Kellen","Clemens","6.5","1","5200","SD@BAL","SD","BAL","","","",""
"39900","RB","Khiry","Robinson","8.5","7","5200","NYG@NO","NO","NYG","","","",""
"7761","TE","Jared","Cook","4.2","6","5200","SF@STL","STL","SF","","","",""
"7744","QB","Drew","Stanton","-0.1","2","5200","ARI@CLE","ARI","CLE","","","",""
"14349","WR","Jeremy","Kerley","3.8","6","5200","NYJ@OAK","NYJ","OAK","","","",""
"6645","WR","Marques","Colston","5.3","6","5100","NYG@NO","NO","NYG","","","",""
"47640","RB","Branden","Oliver","3.4","7","5100","SD@BAL","SD","BAL","","","",""
"54741","WR","Seth","Roberts","4.1","6","5100","NYJ@OAK","OAK","NYJ","","","",""
"25410","QB","Mike","Glennon","15.9","6","5100","TB@ATL","TB","ATL","","","",""
"11419","RB","C.J.","Spiller","6.7","6","5100","NYG@NO","NO","NYG","","","",""
"31047","QB","AJ","McCarron","0","0","5100","CIN@PIT","CIN","PIT","","","",""
"62497","RB","David","Johnson","9.6","7","5100","ARI@CLE","ARI","CLE","","","",""
"14696","QB","Scott","Tolzien","0","0","5100","GB@DEN","GB","DEN","","","",""
"33691","RB","Orleans","Darkwa","1.5","7","5100","NYG@NO","NYG","NO","","","",""
"14645","WR","Dontrelle","Inman","3.9","6","5100","SD@BAL","SD","BAL","","","",""
"21123","TE","Larry","Donnell","6.6","7","5100","NYG@NO","NYG","NO","","","",""
"6844","QB","Shaun","Hill","10.8","9","5100","MIN@CHI","MIN","CHI","","","",""
"31871","RB","Charles","Sims","9.6","6","5100","TB@ATL","TB","ATL","","","",""
"12538","D","St Louis","Rams","12.3","6","5100","SF@STL","STL","SF","","","",""
"6724","K","Steven","Hauschka","10.7","7","5100","SEA@DAL","SEA","DAL","","","",""
"6768","WR","Eddie","Royal","6.9","5","5100","MIN@CHI","CHI","MIN","","","",""
"14344","QB","T.J.","Yates","1.6","1","5100","TB@ATL","ATL","TB","","","",""
"29645","RB","Javorius","Allen","2.9","7","5000","SD@BAL","BAL","SD","","","",""
"6580","TE","Heath","Miller","4.8","7","5000","CIN@PIT","PIT","CIN","","","",""
"21971","TE","Coby","Fleener","5.8","7","5000","IND@CAR","IND","CAR","","","",""
"26247","K","Brandon","McManus","12","6","5000","GB@DEN","DEN","GB","","","",""
"6535","WR","Kenny","Britt","5.7","6","5000","SF@STL","STL","SF","","","",""
"6643","RB","Reggie","Bush","1.7","4","5000","SF@STL","SF","STL","","","",""
"6497","RB","Ahmad","Bradshaw","2","2","5000","IND@CAR","IND","CAR","","","",""
"45723","TE","Crockett","Gillmore","8.9","5","5000","SD@BAL","BAL","SD","","","",""
"29314","TE","Richard","Rodgers","7.4","6","5000","GB@DEN","GB","DEN","","","",""
"39373","WR","Jaelen","Strong","6.4","3","5000","TEN@HOU","HOU","TEN","","","",""
"30108","WR","Marquess","Wilson","7.2","6","5000","MIN@CHI","CHI","MIN","","","",""
"14761","WR","Andre","Holmes","2.2","6","5000","NYJ@OAK","OAK","NYJ","","","",""
"27776","RB","Tevin","Coleman","4.2","5","5000","TB@ATL","ATL","TB","","","",""
"24569","K","Chandler","Catanzaro","8.7","7","5000","ARI@CLE","ARI","CLE","","","",""
"6809","WR","Brian","Hartline","3","7","5000","ARI@CLE","CLE","ARI","","","",""
"6897","K","Mason","Crosby","8.7","6","5000","GB@DEN","GB","DEN","","","",""
"44090","RB","Alonzo","Harris","0.6","3","5000","GB@DEN","GB","DEN","","","",""
"28095","RB","Thomas","Rawls","6.4","7","5000","SEA@DAL","SEA","DAL","Q","Calf","",""
"22018","WR","Mohamed","Sanu","5.9","6","5000","CIN@PIT","CIN","PIT","","","",""
"6732","RB","DeAngelo","Williams","6.8","7","5000","CIN@PIT","PIT","CIN","","","",""
"14358","WR","Dwayne","Harris","5.6","7","5000","NYG@NO","NYG","NO","","","",""
"21952","WR","Michael","Floyd","5.9","7","4900","ARI@CLE","ARI","CLE","","","",""
"14237","TE","Kyle","Rudolph","6.6","6","4900","MIN@CHI","MIN","CHI","","","",""
"47720","WR","Chandler","Worthy","1","3","4900","TEN@HOU","HOU","TEN","","","",""
"31675","RB","Josh","Robinson","1.6","5","4900","IND@CAR","IND","CAR","","","",""
"6488","WR","Dwayne","Bowe","0","2","4900","ARI@CLE","CLE","ARI","","","",""
"38269","RB","Cameron","Artis-Payne","0.8","4","4900","IND@CAR","CAR","IND","","","",""
"54753","WR","Taylor","Gabriel","3.7","7","4900","ARI@CLE","CLE","ARI","","","",""
"31261","RB","Tre","Mason","2.1","4","4900","SF@STL","STL","SF","Q","Ankle","",""
"32354","WR","Malcome","Kennedy","0","0","4900","NYG@NO","NO","NYG","","","",""
"54608","RB","Jerick","McKinnon","1.9","6","4900","MIN@CHI","MIN","CHI","","","",""
"54612","RB","Lorenzo","Taliaferro","5.4","3","4900","SD@BAL","BAL","SD","IR","Foot","",""
"24797","RB","Juwan","Thompson","0.6","5","4900","GB@DEN","DEN","GB","Q","Hamstring","",""
"39649","RB","Benny","Cunningham","5.3","6","4900","SF@STL","STL","SF","","","",""
"39449","WR","Charles","Johnson","2.6","4","4900","MIN@CHI","MIN","CHI","","","",""
"23045","K","Justin","Tucker","9.3","7","4900","SD@BAL","BAL","SD","","","",""
"30807","TE","Mychal","Rivera","2.2","6","4900","NYJ@OAK","OAK","NYJ","","","",""
"6870","TE","Vernon","Davis","4.6","5","4900","SF@STL","SF","STL","","","",""
"25886","WR","Devin","Street","2.2","6","4900","SEA@DAL","DAL","SEA","","","",""
"22110","K","Blair","Walsh","9.7","6","4900","MIN@CHI","MIN","CHI","","","",""
